,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
27,399.88587226867674,3.721917763877317,1.9641656875610352,0.0254096171591008,49,,1,236,"{'max_depth': 49, 'max_features': None, 'min_samples_leaf': 1, 'n_estimators': 236}",-0.7603277025880785,-0.7771082154132588,-0.7567361630314994,-0.7646746019368068,-0.7743118737112071,-0.7666317113361701,0.007876988149430648,75,-0.28510713745479493,-0.28217335925884857,-0.28497081269357005,-0.28397978277416086,-0.28289259234941155,-0.2838247369061572,0.001146997969268167
160,365.07917313575746,3.169697004134861,1.5625579833984375,0.01888435930056074,22,,4,280,"{'max_depth': 22, 'max_features': None, 'min_samples_leaf': 4, 'n_estimators': 280}",-0.7608189452000951,-0.7766808303082112,-0.755157349067751,-0.7657786586192893,-0.7748787130434127,-0.7666628992477518,0.00818742822138617,76,-0.47187674497906074,-0.46707497074068316,-0.47142758550320474,-0.4703140040775291,-0.4666976057794071,-0.4694781822159769,0.0021798580414121613
83,407.29460287094116,4.208463803140815,2.028261995315552,0.03428880737652632,43,,1,240,"{'max_depth': 43, 'max_features': None, 'min_samples_leaf': 1, 'n_estimators': 240}",-0.7603216014465496,-0.7772560936341669,-0.7567305520046861,-0.7646884180345469,-0.7743844254637279,-0.7666762181167355,0.007932200237925085,77,-0.2851150795034572,-0.28220149980243714,-0.28498020849628425,-0.28394534856394704,-0.2829153713053602,-0.2838315015342972,0.0011380915144072988
63,649.1839042663574,5.221773687682675,3.1499440670013428,0.15973213621869584,23,,1,405,"{'max_depth': 23, 'max_features': None, 'min_samples_leaf': 1, 'n_estimators': 405}",-0.7606756447298502,-0.7777163765200138,-0.7566908667704264,-0.7649342491966339,-0.7743072834010635,-0.7668648841235975,0.007983593912914897,78,-0.30512994360708356,-0.3046178748247724,-0.30493213026755417,-0.3058362416787343,-0.30276894798027054,-0.304657027671683,0.0010253052678282889
34,261.36920924186705,2.458819732800508,1.078172540664673,0.008288658269157496,22,,4,199,"{'max_depth': 22, 'max_features': None, 'min_samples_leaf': 4, 'n_estimators': 199}",-0.7610045508266035,-0.7772459455348351,-0.7546253652907168,-0.7663401906566546,-0.7752958864774658,-0.7669023877572552,0.008523682712873385,79,-0.47230792701933577,-0.4676113633716109,-0.47209945607968334,-0.47069485263454874,-0.4671690924712291,-0.4699765383152815,0.0021878726318743194
134,529.7270588874817,4.222635166697399,2.6038155555725098,0.01935599129943446,24,,1,331,"{'max_depth': 24, 'max_features': None, 'min_samples_leaf': 1, 'n_estimators': 331}",-0.7608185351019127,-0.7779656260831029,-0.7569188202870245,-0.7648479471688647,-0.7740760547077127,-0.7669253966697235,0.00793422587800625,80,-0.29881323366266377,-0.29742547086558535,-0.2984655020737555,-0.2991784653637037,-0.296279499456994,-0.29803243428454046,0.0010537331460020016
109,332.1557667732239,3.2420032731648183,1.7173347473144531,0.03416508658288387,43,,1,195,"{'max_depth': 43, 'max_features': None, 'min_samples_leaf': 1, 'n_estimators': 195}",-0.760201826162081,-0.77748461669848,-0.7566406353426606,-0.7653499936979845,-0.7749776060826169,-0.7669309355967646,0.008121572028806633,81,-0.2858683394183593,-0.28285130262782504,-0.2856273727422666,-0.284784472144831,-0.2834209569710361,-0.28451048878086366,0.0011921604989076468
196,196.9168909072876,1.317705482136307,0.8289555549621582,0.00898179276484572,42,,4,149,"{'max_depth': 42, 'max_features': None, 'min_samples_leaf': 4, 'n_estimators': 149}",-0.7610596986008012,-0.7774738378946193,-0.7545787694397081,-0.7667536480206238,-0.7752361682198255,-0.7670204244351156,0.008569346533350985,82,-0.46648266749607326,-0.46092838416378135,-0.4661240109477898,-0.46403042360232327,-0.461376951056956,-0.4637884874533847,0.0023137635062384066
76,196.98851795196532,1.0455706917233818,0.821277379989624,0.01642915501219568,37,,4,149,"{'max_depth': 37, 'max_features': None, 'min_samples_leaf': 4, 'n_estimators': 149}",-0.7610612931369487,-0.7774746679370931,-0.7545787694397081,-0.7667598571777653,-0.7752313915210881,-0.7670211958425207,0.008568373297882837,83,-0.466480512163359,-0.4609281134555507,-0.4661240109477898,-0.4640363536004636,-0.4613790290304103,-0.4637896038395146,0.0023130208700673535
87,299.81339168548584,1.9322928498458787,1.4743404865264893,0.01154153055071563,48,,1,177,"{'max_depth': 48, 'max_features': None, 'min_samples_leaf': 1, 'n_estimators': 177}",-0.7603950978504803,-0.777419715140576,-0.7571073893346467,-0.7655659521758506,-0.7748600782276702,-0.7670696465458449,0.007923029868579843,84,-0.2861039759932144,-0.2829225147482447,-0.2856707569571074,-0.2851553081517037,-0.2835921028774696,-0.284688931745548,0.001225324487255382
71,735.8327431678772,6.030238159876459,3.431200361251831,0.0474825413026791,21,,1,478,"{'max_depth': 21, 'max_features': None, 'min_samples_leaf': 1, 'n_estimators': 478}",-0.7608525213299742,-0.7780751197362443,-0.7568023503478559,-0.7650656791149648,-0.7746225597637661,-0.767083646058561,0.008077770248296883,85,-0.3267664529765432,-0.32730549364670114,-0.3263489564997852,-0.32817894634493866,-0.3243041871053634,-0.3265808073146663,0.0012923186394584814
59,310.13263688087466,2.751459654960139,1.4867834568023681,0.017207397953447175,26,,1,186,"{'max_depth': 26, 'max_features': None, 'min_samples_leaf': 1, 'n_estimators': 186}",-0.76055369453486,-0.7779107991000374,-0.7565785865404749,-0.7654996345780737,-0.7748912363290555,-0.7670867902165004,0.008169348739496402,86,-0.29196539445492004,-0.2901383070688833,-0.2918841714289385,-0.29237579060270685,-0.28983643891328026,-0.2912400204937458,0.0010406618350658398
93,176.25740857124327,1.7048352937391258,0.7391462802886963,0.009871537557177065,36,,4,133,"{'max_depth': 36, 'max_features': None, 'min_samples_leaf': 4, 'n_estimators': 133}",-0.7609551600396811,-0.7776979503144483,-0.7545586614061578,-0.7670405267772185,-0.7752741817974148,-0.7671052960669841,0.008650796814289784,87,-0.4668042834469803,-0.4612981202655496,-0.4665172153770868,-0.46441823737755294,-0.4615988940306015,-0.4641273500995542,0.0023392167555002052
72,310.9726558685303,0.8123563769218702,1.5069921016693115,0.029489410963098994,25,,1,191,"{'max_depth': 25, 'max_features': None, 'min_samples_leaf': 1, 'n_estimators': 191}",-0.7611451321050888,-0.7775030102474602,-0.7563797622946613,-0.7656631487029487,-0.7748608337478573,-0.7671103774196033,0.008011256006034272,88,-0.2952827493638234,-0.2936756416306296,-0.2951446550214573,-0.29589475155637207,-0.2930334578513042,-0.2946062510847173,0.0010721450179236715
182,261.9165451526642,2.2632069240552224,1.0808172702789307,0.0090195604116685,21,,4,201,"{'max_depth': 21, 'max_features': None, 'min_samples_leaf': 4, 'n_estimators': 201}",-0.7613084863956808,-0.7775600514556213,-0.7547466444998437,-0.766545960689966,-0.7754208639467955,-0.7671164013975814,0.008545198531870782,89,-0.47605468931265404,-0.4716427487857315,-0.4758180508311877,-0.47479779052280385,-0.4709835635603313,-0.4738593686025417,0.0021316736545057315
6,359.06876454353335,2.8411985056780598,1.4462035655975343,0.01417938511293537,20,,4,279,"{'max_depth': 20, 'max_features': None, 'min_samples_leaf': 4, 'n_estimators': 279}",-0.761272477169468,-0.7772159749743788,-0.7555658620057751,-0.7664232140443226,-0.7754445671343292,-0.7671844190656547,0.008238731920488128,90,-0.4812013951501484,-0.4770535054182956,-0.4805986903021291,-0.4804114916407554,-0.47622001662361635,-0.47909701982698893,0.002042760114970438
135,580.2044453620911,3.7526281213546624,2.798252820968628,0.034022217528147165,22,,1,374,"{'max_depth': 22, 'max_features': None, 'min_samples_leaf': 1, 'n_estimators': 374}",-0.7608149754915655,-0.7781412402060606,-0.7572308186118188,-0.7653671622582425,-0.774678785888273,-0.7672465964911921,0.007989299458097282,91,-0.314625368454114,-0.3143629623146205,-0.31431237874436607,-0.31575375300632696,-0.3122193163158917,-0.31425475576706385,0.0011438871719672483
86,163.64382996559144,1.2187273969166432,0.6852926731109619,0.003100711692097044,35,,4,124,"{'max_depth': 35, 'max_features': None, 'min_samples_leaf': 4, 'n_estimators': 124}",-0.7610621091400123,-0.7778429022555261,-0.754908154070105,-0.766906968917277,-0.7755345759917737,-0.7672509420749389,0.00862058696026176,92,-0.46706311009149115,-0.4614731487150849,-0.4670339269783475,-0.46471911051989206,-0.461934748671109,-0.4644448089951849,0.002398559631901416
73,170.75492691993713,2.181896392126681,0.7167538642883301,0.008969940630872914,23,,4,130,"{'max_depth': 23, 'max_features': None, 'min_samples_leaf': 4, 'n_estimators': 130}",-0.7611895523638408,-0.7779595033619464,-0.7547374364272835,-0.7669209392605069,-0.7755249417206701,-0.7672664746268496,0.008678344535169757,93,-0.4708041236714503,-0.4658974132871589,-0.47069596957200777,-0.4690865711514208,-0.4656836804933479,-0.4684335516350771,0.0022431393271752985
30,499.9160640716553,5.011048227171675,2.3078824520111083,0.029899602200142553,21,,1,324,"{'max_depth': 21, 'max_features': None, 'min_samples_leaf': 1, 'n_estimators': 324}",-0.7614080029619988,-0.778262604095675,-0.7569370774701242,-0.7654453134818453,-0.7749369728646549,-0.7673979941748597,0.008049840785246646,94,-0.327318363928611,-0.3273281738001398,-0.32670826627782107,-0.32921981380355503,-0.32492201332188453,-0.32709932622640225,0.0013777108302846014
82,147.51066126823426,1.3526858347874635,0.6190096855163574,0.0069056240225787375,43,,4,112,"{'max_depth': 43, 'max_features': None, 'min_samples_leaf': 4, 'n_estimators': 112}",-0.7613677674613377,-0.7781747099926148,-0.7552808526892716,-0.7668779672883662,-0.7754972047962705,-0.7674397004455722,0.008546172235597107,95,-0.4672721818854647,-0.46171486670034206,-0.46731234970345426,-0.4650131798973046,-0.4624547721568708,-0.4647534700686872,0.0023441990494063505
3,231.05347681045532,2.072191837455307,1.1820591926574706,0.03271285925845736,37,,1,136,"{'max_depth': 37, 'max_features': None, 'min_samples_leaf': 1, 'n_estimators': 136}",-0.7607520555560381,-0.779099118186683,-0.7566102884468493,-0.7666269621775992,-0.7750427315487055,-0.767626231183175,0.008440798982743412,96,-0.287033683147823,-0.28406139771230376,-0.2867937239935664,-0.2869317835334007,-0.2850486942178642,-0.2859738565209916,0.0012022032519242107
16,146.2700464248657,1.142581765530238,0.6031087398529053,0.010162197929978023,22,,4,112,"{'max_depth': 22, 'max_features': None, 'min_samples_leaf': 4, 'n_estimators': 112}",-0.7616964906345988,-0.7784856310200182,-0.7554275541796632,-0.7670544035689517,-0.7758566933509383,-0.7677041545508342,0.008601549191687525,97,-0.4736196324080886,-0.46895517602553743,-0.4736412321260031,-0.4721386731344493,-0.46892630221785175,-0.471456203182386,0.0021249036902496635
147,218.33093371391297,2.3199390064878505,1.0788522243499756,0.016403793553844095,28,,1,131,"{'max_depth': 28, 'max_features': None, 'min_samples_leaf': 1, 'n_estimators': 131}",-0.7617236087889743,-0.7785243362944455,-0.7577097529862186,-0.7666503135534837,-0.7746439963623013,-0.7678504015970846,0.007770410123442267,98,-0.2899850710513082,-0.2874859088710241,-0.28974373163718936,-0.29015051614641885,-0.2877490706670376,-0.2890228596745956,0.0011577454337416786
170,178.49111285209656,0.2614029561190131,0.7415069103240967,0.007665919992108459,20,,4,140,"{'max_depth': 20, 'max_features': None, 'min_samples_leaf': 4, 'n_estimators': 140}",-0.7619574075538057,-0.7782706625450642,-0.7551658728791463,-0.7677905985862653,-0.776215604461851,-0.7678800292052264,0.008650806808700433,99,-0.48222633154296957,-0.4782896939479903,-0.4816380336764585,-0.48125461996711216,-0.4773937387893188,-0.48016048358476987,0.0019392136092369764
137,200.9781494140625,2.3994740718913583,1.0549585819244385,0.037151988090222056,45,,1,119,"{'max_depth': 45, 'max_features': None, 'min_samples_leaf': 1, 'n_estimators': 119}",-0.761342358779624,-0.7779535880537466,-0.758176136326412,-0.7667894471255595,-0.7753946611337427,-0.7679312382838169,0.007694533253119606,100,-0.28794970941958586,-0.2849909047420738,-0.2881789241710737,-0.28779062802389327,-0.28583963972424575,-0.28694996121617444,0.0012874224777044826
118,392.4324127197266,2.436274010034252,1.7989275932312012,0.029691661763984554,20,,1,259,"{'max_depth': 20, 'max_features': None, 'min_samples_leaf': 1, 'n_estimators': 259}",-0.7622093245827508,-0.7791818533488598,-0.7577582901102967,-0.7662674302184935,-0.7758994118218978,-0.7682632620164598,0.008105730791253351,101,-0.34352226877690983,-0.3441675092884026,-0.3429682607439181,-0.3465791919956871,-0.3417854234991505,-0.34380453086081364,0.0015928786446315851
161,217.25379390716552,2.0631905691019004,1.048178482055664,0.020191068942938727,23,,1,135,"{'max_depth': 23, 'max_features': None, 'min_samples_leaf': 1, 'n_estimators': 135}",-0.7615159917538213,-0.7790581632801605,-0.757856788547353,-0.767179642070125,-0.7757426715398915,-0.7682706514382703,0.00809278401222815,102,-0.30822085975039787,-0.30731853796460795,-0.3078350282745616,-0.3099774019986175,-0.30632335899370283,-0.30793503739637756,0.001203372613449987
145,132.9761429786682,0.8002816656355759,0.5482244491577148,0.010761819611660766,20,,4,103,"{'max_depth': 20, 'max_features': None, 'min_samples_leaf': 4, 'n_estimators': 103}",-0.7625267411979192,-0.7785477522885554,-0.7564192809790892,-0.7680807407570602,-0.7767580655652248,-0.7684665161575699,0.008377908309176289,103,-0.48311265254687835,-0.4794498594714827,-0.48276606079391216,-0.482285143379761,-0.4790029602029363,-0.48132333527899407,0.0017379436190029765
31,210.2096170425415,5.7109859341263665,0.9531581401824951,0.014080272125880502,21,,1,135,"{'max_depth': 21, 'max_features': None, 'min_samples_leaf': 1, 'n_estimators': 135}",-0.7627821190094171,-0.7794865365162442,-0.7575113755754246,-0.7671706143632692,-0.7762796912390315,-0.7686460673406773,0.008201612012224914,104,-0.329813426709072,-0.3301341700851529,-0.3287438211295073,-0.3318937863995751,-0.3280467152306629,-0.32972638391079406,0.0013159191506538746
12,161.13100709915162,1.698649498327134,0.7543355464935303,0.011757778075567651,22,,1,102,"{'max_depth': 22, 'max_features': None, 'min_samples_leaf': 1, 'n_estimators': 102}",-0.7638070227491288,-0.7802801488538359,-0.7603170502686758,-0.7686089148543619,-0.7772724649182507,-0.7700571203288507,0.0076498561214698125,105,-0.3183525128598783,-0.3189426838158689,-0.3188593245444296,-0.3206509946873321,-0.3178080125001788,-0.3189227056815375,0.0009548884672444378
33,165.80105829238892,0.5246861446924913,3.800784873962402,0.06907247301668082,31,sqrt,1,460,"{'max_depth': 31, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 460}",-0.7788908786097759,-0.7882046456123185,-0.7702274050431182,-0.7809579792044578,-0.7950940045392992,-0.782674982601794,0.008450077037072757,106,-0.2906092536859259,-0.28921677938561136,-0.29085249745948644,-0.2886388790269649,-0.28833114254731806,-0.28952971042106135,0.0010240361871891967
67,168.4450037956238,1.0008908820271822,3.770013761520386,0.07434512934673201,26,sqrt,1,471,"{'max_depth': 26, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 471}",-0.7785218234086272,-0.7890545632845489,-0.7707323627767023,-0.7823225064124248,-0.7952646332730144,-0.7831791778310635,0.00846080881003207,107,-0.2951942494151313,-0.29362500708282024,-0.295387441890988,-0.29347584805869237,-0.2934379719899197,-0.2942241036875103,0.0008753678977729804
165,180.19316458702087,0.5431232672988976,4.429010629653931,0.27915597133764186,29,sqrt,1,495,"{'max_depth': 29, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 495}",-0.7797619612190002,-0.7883724058743548,-0.7709180978658666,-0.7812998704359306,-0.7959617043635286,-0.7832628079517361,0.008436478882205514,108,-0.29122809247039255,-0.2894255016938635,-0.29158349136986444,-0.28947865046572246,-0.2893001887770285,-0.29020318495537434,0.0009900328067553878
132,160.87969636917114,0.9462432233706828,3.800750160217285,0.32937596163559446,38,sqrt,1,446,"{'max_depth': 38, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 446}",-0.779925749377676,-0.7885185282219229,-0.7699955533226576,-0.7819001580309626,-0.7962130287249276,-0.7833106035356294,0.00876735093023831,109,-0.2903717676974553,-0.28833870909807896,-0.2902549257799824,-0.28859043264804385,-0.28804000364463667,-0.28911916777363944,0.0009911835967910505
70,109.27120008468628,0.7911149561471376,2.49277982711792,0.03939395598764707,33,sqrt,1,302,"{'max_depth': 33, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 302}",-0.7807817227791813,-0.788231254322217,-0.7701711960564791,-0.7817213984212886,-0.7959544187543316,-0.7833719980666995,0.008551314059078106,110,-0.2913639310322002,-0.2892690683755473,-0.29111129574704475,-0.2895382718434591,-0.2892636419961731,-0.2901092417988849,0.0009300854030515837
